ScenarioID,Category,SubCategory,Trials,TruePositives,FalseNegatives,RecallPct,PrecisionPct,F1Score,LocalizationAccuracyPct,MeanLatencyMicros
UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,250,250,0,100.00,100.00,100.00,0.00,25.8
UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,250,250,0,100.00,100.00,100.00,100.00,12.0
UNSEEN-ATK-03,UNSEEN_ATTACK,Dependency: Deep Transitive Lockfile Tampering,250,250,0,100.00,100.00,100.00,0.00,33.8
UNSEEN-ATK-04,UNSEEN_ATTACK,Temporal: Causal Build Inversion,250,250,0,100.00,100.00,100.00,100.00,22.1
UNSEEN-ATK-05,UNSEEN_ATTACK,Dependency: Architecture Hash Mismatch,250,250,0,100.00,100.00,100.00,0.00,18.1
UNSEEN-ATK-06,UNSEEN_ATTACK,Source: Subtle Logic Tampering,250,250,0,100.00,100.00,100.00,0.00,20.0
UNSEEN-ATK-07,UNSEEN_ATTACK,Environment: Malicious Compiler Flags,250,250,0,100.00,100.00,100.00,100.00,22.1
UNSEEN-ATK-08,UNSEEN_ATTACK,Artifact: Non-Deterministic Artifact Divergence,250,250,0,100.00,100.00,100.00,100.00,18.1
UNSEEN-ATK-09,UNSEEN_ATTACK,Artifact: Side-Loaded Unverified Binary,250,250,0,100.00,100.00,100.00,100.00,21.9
UNSEEN-ATK-10,UNSEEN_ATTACK,Provenance: Subject Hash Forgery,250,250,0,100.00,100.00,100.00,100.00,26.0
UNSEEN-ATK-11,UNSEEN_ATTACK,Provenance: Incomplete Materials Ledger,250,250,0,100.00,100.00,100.00,0.00,27.9
UNSEEN-ATK-12,UNSEEN_ATTACK,Process: Detached Netcat Exfiltration,250,250,0,100.00,100.00,100.00,100.00,27.4
UNSEEN-ATK-13,UNSEEN_ATTACK,Process: Suspicious Execution Pattern,250,250,0,100.00,100.00,100.00,100.00,18.0
UNSEEN-ATK-14,UNSEEN_ATTACK,Artifact: Post-Build In-Place Tampering,250,250,0,100.00,100.00,100.00,100.00,22.4
UNSEEN-ATK-15,UNSEEN_ATTACK,Signature: Log Entry Replay Attack,250,250,0,100.00,100.00,100.00,100.00,34.9
UNSEEN-ATK-16,UNSEEN_ATTACK,Signature: Untrusted OIDC Principal,250,250,0,100.00,100.00,100.00,100.00,20.5
UNSEEN-ATK-17,UNSEEN_ATTACK,SBOM: Manifest Version Discrepancy,250,250,0,100.00,100.00,100.00,100.00,15.0
UNSEEN-ATK-18,UNSEEN_ATTACK,SBOM: Corrupted Specification Format,250,250,0,100.00,100.00,100.00,100.00,27.0
UNSEEN-ATK-19,UNSEEN_ATTACK,Source: Git Tree Object Mutation,250,250,0,100.00,100.00,100.00,100.00,33.9
UNSEEN-ATK-20,UNSEEN_ATTACK,Filesystem: Expanded Boundary Write Escape,250,250,0,100.00,100.00,100.00,100.00,27.9
UNSEEN-ATK-21,UNSEEN_ATTACK,Network: Unauthorized DNS Exfiltration,250,250,0,100.00,100.00,100.00,100.00,25.2
UNSEEN-ATK-22,UNSEEN_ATTACK,Artifact: Binary Checksum Tampering,250,250,0,100.00,100.00,100.00,100.00,23.2
COMPOSED-ATK-01,COMPOSED_ATTACK,2-Layer: Source + Dependency Attack,250,250,0,100.00,100.00,100.00,0.00,14.0
COMPOSED-ATK-02,COMPOSED_ATTACK,3-Layer: Source + Dependency + Process Attack,250,250,0,100.00,100.00,100.00,0.00,36.2
COMPOSED-ATK-03,COMPOSED_ATTACK,4-Layer: Full Multi-Stage Chain Attack,250,250,0,100.00,100.00,100.00,0.00,17.9
