Partition,ScenarioID,Category,SubCategory,TotalTrials,TruePositives,FalseNegatives,TrueNegatives,FalsePositives,SumCheck_TP_FN_TN_FP,IsSumValid,RecallPct,PrecisionPct,F1Score,FalseAcceptanceRatePct,FalseRejectionRatePct,SpecificityPct,AccuracyPct,MeanLatencyMicros
GLOBAL_MACRO,ALL_30_SCENARIOS,OVERALL,"All 7,500 Evaluated Trials",7500,6250,0,1250,0,7500,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,23.9
ATTACKS_MACRO,ALL_25_ATTACK_SCENARIOS,ATTACK_TOTAL,22 Unseen + 3 Composed Attacks,6250,6250,0,0,0,6250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,23.6
BENIGN_MACRO,ALL_5_BENIGN_SCENARIOS,BENIGN_TOTAL,5 Benign Operational Variations,1250,0,0,1250,0,1250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,25.3
CATEGORY,UNSEEN_ATTACK,UNSEEN_ATTACK,UNSEEN_ATTACK,5500,5500,0,0,0,5500,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,23.8
CATEGORY,COMPOSED_ATTACK,COMPOSED_ATTACK,COMPOSED_ATTACK,750,750,0,0,0,750,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,22.7
CATEGORY,BENIGN_VARIABILITY,BENIGN_VARIABILITY,BENIGN_VARIABILITY,1250,0,0,1250,0,1250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,25.3
SCENARIO,UNSEEN-ATK-01,UNSEEN_ATTACK,Source: Multi-File In-Tree Tampering,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,25.8
SCENARIO,UNSEEN-ATK-02,UNSEEN_ATTACK,Process: Asynchronous Post-Build Injection,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,12.0
SCENARIO,UNSEEN-ATK-03,UNSEEN_ATTACK,Dependency: Deep Transitive Lockfile Tampering,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,33.8
SCENARIO,UNSEEN-ATK-04,UNSEEN_ATTACK,Temporal: Causal Build Inversion,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,22.1
SCENARIO,UNSEEN-ATK-05,UNSEEN_ATTACK,Dependency: Architecture Hash Mismatch,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,18.1
SCENARIO,UNSEEN-ATK-06,UNSEEN_ATTACK,Source: Subtle Logic Tampering,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,20.0
SCENARIO,UNSEEN-ATK-07,UNSEEN_ATTACK,Environment: Malicious Compiler Flags,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,22.1
SCENARIO,UNSEEN-ATK-08,UNSEEN_ATTACK,Artifact: Non-Deterministic Artifact Divergence,250,250,0,0,0,250,true,100.00,100.00,100.00,0.00,0.00,100.00,100.00,18.1
