QueryDomain,AllowedSuffix,SubdomainPrefix,ShannonEntropy,MaxLabelLength,LabelNesting,HexRatio,HeuristicStatus,IsCorrelatedAttack,HasExecutionAnomaly,ObservedVerdict,ExpectedVerdict,IsCorrect,Reason
proxy.golang.org,golang.org,proxy,2.32,5,1,0.00,NORMAL,false,false,TRUSTED,TRUSTED,true,"Standard lexical/hierarchical subdomain"
sum.golang.org,golang.org,sum,1.58,3,1,0.00,NORMAL,false,false,TRUSTED,TRUSTED,true,"Standard lexical/hierarchical subdomain"
pkg.go.dev,pkg.go.dev,,0.00,0,0,0.00,NORMAL,false,false,TRUSTED,TRUSTED,true,"Exact match on authorized root domain"
api.github.com,github.com,api,1.58,3,1,0.33,NORMAL,false,false,TRUSTED,TRUSTED,true,"Standard lexical/hierarchical subdomain"
cdn.jsdelivr.net,jsdelivr.net,cdn,1.58,3,1,0.67,NORMAL,false,false,TRUSTED,TRUSTED,true,"Standard lexical/hierarchical subdomain"
us-east-1.registry.hub.docker.com,docker.com,us-east-1.registry.hub,2.75,9,3,0.25,NORMAL,false,false,TRUSTED,TRUSTED,true,"Standard lexical/hierarchical subdomain"
production.cloudflare.docker.com,docker.com,production.cloudflare,3.12,10,2,0.35,NORMAL,false,false,TRUSTED,TRUSTED,true,"Standard lexical/hierarchical subdomain"
c2VjcmV0LWtleS1kYXRhLWV4Zmls.pkg.go.dev,pkg.go.dev,c2vjcmv0lwtles1kyxrhlwv4zmls,4.07,28,1,0.25,SUSPICIOUS,true,true,REJECTED,REJECTED,true,"Abnormal subdomain characteristics detected: high Shannon entropy (randomness)"
7365637265745f746f6b656e5f686578.pkg.go.dev,pkg.go.dev,7365637265745f746f6b656e5f686578,2.92,32,1,1.00,NORMAL,true,true,REJECTED,REJECTED,true,"Standard lexical/hierarchical subdomain"
this-is-an-abnormally-long-chunk-of-exfiltrated-payload-data.github.com,github.com,this-is-an-abnormally-long-chunk-of-exfiltrated-payload-data,4.08,60,1,0.28,SUSPICIOUS,true,true,REJECTED,REJECTED,true,"Abnormal subdomain characteristics detected: high Shannon entropy (randomness), abnormally long label length"
chunk1.chunk2.chunk3.chunk4.chunk5.chunk6.pkg.go.dev,pkg.go.dev,chunk1.chunk2.chunk3.chunk4.chunk5.chunk6,2.58,6,6,0.33,NORMAL,true,true,REJECTED,REJECTED,true,"Standard lexical/hierarchical subdomain"
strange-high-entropy-x98f21bc90a.pkg.go.dev,pkg.go.dev,strange-high-entropy-x98f21bc90a,4.35,32,1,0.41,SUSPICIOUS,false,false,WARNING,WARNING,true,"Abnormal subdomain characteristics detected: high Shannon entropy (randomness)"
leak.pkg.go.dev,pkg.go.dev,leak,2.00,4,1,0.50,NORMAL,true,false,TRUSTED,TRUSTED,true,"Standard lexical/hierarchical subdomain"
