TrialID,ExperimentFamily,ScenarioOrVector,ExpectedVerdict,ObservedVerdict,IsDetected,IsFalsePositive,LatencyUs
1,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
2,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
3,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
4,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
5,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
6,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
7,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
8,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
9,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
10,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
11,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
12,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
13,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
14,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
15,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
16,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
17,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
18,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
19,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
20,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
21,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
22,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
23,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
24,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
25,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
26,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
27,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
28,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
29,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
30,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
31,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
32,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
33,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
34,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
35,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
36,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,530.5
37,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
38,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
39,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
40,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
41,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
42,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
43,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
44,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
45,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
46,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
47,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
48,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
49,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
50,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
51,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
52,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
53,BENIGN_CAMPAIGN,"Standard Go Clean Build",TRUSTED,TRUSTED,true,false,0.0
