DatasetName,Category,TotalTrials,TruePositives,FalseNegatives,TrueNegatives,FalsePositives,SumCheck,SumCheckValid,PrecisionPct,RecallPct,SpecificityPct,F1Score,FAR_Pct,FRR_Pct,AuditStatus
Day 12 Baseline,"OVERALL (5,000 Attack + 1,250 Benign)",6250,4000,1000,1250,0,6250,true,100.00,80.00,100.00,88.89,0.00,20.00,PRE_REMEDIATION_BASELINE
Day 13 (Targeted Remediation),Mode: POST_REMEDIATION (Targeted 4 Blind Spots),2000,1750,250,0,0,2000,true,100.00,87.50,100.00,93.33,0.00,12.50,VERIFIED_ACCURATE
Day 13 (Targeted Remediation),Mode: PRE_REMEDIATION (Targeted 4 Blind Spots),2000,0,2000,0,0,2000,true,100.00,0.00,100.00,0.00,0.00,100.00,CONFIRMED_BLIND_SPOTS
Day 13 (Targeted Remediation),OVERALL_COMBINED_EVALUATION,4000,1750,2250,0,0,4000,true,100.00,43.75,100.00,60.87,0.00,56.25,VERIFIED_ACCURATE
Day 13 Reproduction,Mode: POST_REMEDIATION (Targeted 4 Blind Spots),2000,1750,250,0,0,2000,true,100.00,87.50,100.00,93.33,0.00,12.50,VERIFIED_ACCURATE
Day 13 Reproduction,Mode: PRE_REMEDIATION (Targeted 4 Blind Spots),2000,0,2000,0,0,2000,true,100.00,0.00,100.00,0.00,0.00,100.00,CONFIRMED_BLIND_SPOTS
Day 13 Reproduction,OVERALL_COMBINED_EVALUATION,4000,1750,2250,0,0,4000,true,100.00,43.75,100.00,60.87,0.00,56.25,VERIFIED_ACCURATE
Day 14 (Generalization & Scale),Partition: UNSEEN_ATTACK,5500,5500,0,0,0,5500,true,100.00,100.00,100.00,100.00,0.00,0.00,VERIFIED_ACCURATE
Day 14 (Generalization & Scale),Partition: COMPOSED_ATTACK,750,750,0,0,0,750,true,100.00,100.00,100.00,100.00,0.00,0.00,VERIFIED_ACCURATE
Day 14 (Generalization & Scale),Partition: BENIGN_VARIABILITY,1250,0,0,1250,0,1250,true,100.00,100.00,100.00,100.00,0.00,0.00,VERIFIED_ACCURATE
Day 14 (Generalization & Scale),OVERALL_7500_TRIALS,7500,6250,0,1250,0,7500,true,100.00,100.00,100.00,100.00,0.00,0.00,VERIFIED_ACCURATE
Day 16 (Hardening & Benign 1k),Family: DNS_TUNNELING,13,4,0,9,0,13,true,100.00,100.00,100.00,100.00,0.00,0.00,VERIFIED_ACCURATE
Day 16 (Hardening & Benign 1k),Family: POLICY_EVALUATION,6,4,0,2,0,6,true,100.00,100.00,100.00,100.00,0.00,0.00,VERIFIED_ACCURATE
Day 16 (Hardening & Benign 1k),Family: BENIGN_CAMPAIGN,1000,0,0,1000,0,1000,true,100.00,100.00,100.00,100.00,0.00,0.00,VERIFIED_ACCURATE
Day 16 (Hardening & Benign 1k),Family: ADVERSARIAL_REATTACK,8,5,3,0,0,8,true,100.00,62.50,100.00,76.92,0.00,37.50,DOCUMENTED_RESIDUAL_BOUNDS
Day 16 (Hardening & Benign 1k),OVERALL_1027_TRIALS,1027,13,3,1011,0,1027,true,100.00,81.25,100.00,89.66,0.00,18.75,VERIFIED_ACCURATE
